title,desc,cat,owner,type,tags,url,flag
CCM Creative Specialist RAW Upload SOP,"How creative specialists upload RAW photo and video after a shoot — folder targets, naming, and what has to be confirmed before the order moves stages.",Field & Production,Chris,SOP,"raw,upload,creative-specialist,delivery,naming",https://docs.google.com/document/d/1_JdXFCRPJsJVWf2azbXYUz7yk1YWGzHnUOaVFvCfnrs/edit,
ACRE Creative Specialist RAW Upload SOP,ACRE-branded version of the RAW upload SOP. Confirm which one your team actually follows before handing either to a new hire.,Field & Production,Chris,SOP,"raw,upload,creative-specialist,acre",https://docs.google.com/document/d/1yMMdTkDQwQWf33yYbc6vqHAxvppTwHKVPvIbRjzlSeE/edit,Variant
Order Flow — Stages & Project Chat Checklist,"Who moves an order from Pre-Production to Production to Post to Completed, and the booking-confirmation checklist the PM runs at each stage. Written against the Tonomo/portal board.",Field & Production,Ops,SOP,"workflow,order-stages,pm,qa,checklist",https://docs.google.com/document/d/1n_khxNiI4g2PDea-zrNtWPvoDKsNsKm-BQXztpKCKlw/edit,
Real Estate Photographer Checklist,"Pre-shoot equipment check and on-site strategy for photographers — batteries, dual SD cards, gimbal, drone, saved directions. Run this the night before, not in the driveway.",Field & Production,Chris,Checklist,"shoot,equipment,photography,pre-shoot,field",https://docs.google.com/document/d/15T4BREVSTATXZmuJqiSKphZb5nuKW6ulkWQLfdC88Zk/edit,
RE Property Prep Checklist,Client-facing prep list sent ahead of a residential listing shoot so the home is camera-ready on arrival.,Field & Production,Client Success,Checklist,"client-facing,prep,listing,pre-shoot",https://docs.google.com/document/d/1hLE-drs0DSt5HW9RdF7PgIGSq1pJUZFZ7wekKFvMc00/edit,
STR Property Prep Checklist,Short-term rental version of the prep list — staging and styling notes specific to vacation properties.,Field & Production,Client Success,Checklist,"client-facing,prep,str,pre-shoot",https://docs.google.com/document/d/135dwS59qOqa7gY9iqdzNSq3gMM4KeMfenAownPS3eDQ/edit,
Multihull Company — Production Worksheet,"Standing production standard for the Multihull account: 4–5 hour shoots, full RAW photo set, 120–150 clips for long-form, 20–25 vertical clips, drone coverage, no editing, raw upload to client Dropbox.",Field & Production,Chris,SOP,"client-sop,marine,deliverables,drone,raw",https://docs.google.com/document/d/160f9y-TPYEfTKGXmXglKNVmudN3xm4ifxiU4N8JsLq0/edit,
QC Specialist Training Outline,"Two-week structured onboarding for QC Specialists: orientation, standards, live supervised workflow, then independent operation. Hard 30/60/90 pass-fail gates.",Quality Control,Monica,Training,"qc,onboarding,training,30-60-90",https://docs.google.com/document/d/1raU0sSsC0n-YolxxLIMUxnj4ybTC97WetkN6janfAnU/edit,
QC Specialist Training Outline (VA pivot),"Second copy written for the FourCorners VA pivot. Same structure, different company stats and territory. Pick one as canonical and archive the other.",Quality Control,Monica,Training,"qc,onboarding,training,va",https://docs.google.com/document/d/1hS4JMu5I4Ka7_DVbifXE-LgI3Vey94G67qouT-CqiIg/edit,Duplicate
QC Skills Assessment,"Pre-hire questionnaire gauging comfort with photo editing, quality control, AI tools, and fast-turnaround review. Explicitly not pass/fail — it scopes training.",Quality Control,Monica,Assessment,"qc,hiring,assessment",https://docs.google.com/document/d/12RMrpAOV56b--U8SOqOorUNZDTpe1sGudU5dkxUeEY4/edit,
QC Skills Assessment — candidate copy,"Candidate-specific copy of the assessment. Belongs in a hiring archive, not the live SOP set.",Quality Control,Monica,Assessment,"qc,hiring,assessment",https://docs.google.com/document/d/1ZXTIiNkXBbjTmZIJb4B9xTj9bUVx800AFPAmZAXB95g/edit,Duplicate
Instagram Engagement SOP,"Who to engage with, how to engage, what to say, what to avoid. Geography-locked to Northeast Florida. Manual engagement only — nothing automated.",Social Media,Nicole,SOP,"instagram,engagement,smm,outreach",https://docs.google.com/document/d/1pXjZ3Ux3MQU4xkFnXo_-vBTmbQJ0gJrN5y5SG3RpHHI/edit,
